"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"alh-11",11.7464899111299,9.61233327234034,14.3167526391034,NA,NA,NA,7.17309944247085,5.73060806691769,7.22817729376526,NA,NA,NA,77.5,-0.71156117825465,-0.746198439999689,-0.986000495707087,NA,NA,NA,"alh-11",TRUE
"enol-1",653.825420460508,645.276475118126,549.653784948448,NA,NA,NA,49.65448752431,68.5263866412017,62.3822746270965,NA,NA,NA,3734.5,-3.71890945725631,-3.23518590842524,-3.13931511889072,NA,NA,NA,"enol-1",FALSE
"C46C2.5",12.4320119430357,23.3112270957798,16.5415598903343,NA,NA,NA,8.67094494132508,1.01560167289908,0.919678921694858,NA,NA,NA,97,-0.519798665814319,-4.52061836786619,-4.16882120331581,NA,NA,NA,"C46C2.5",TRUE
"shpk-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shpk-1",FALSE
"fbp-1",89.3013322821673,96.0796017976073,84.2272161648428,NA,NA,NA,8.7622958781228,11.6077668191861,14.5485431759077,NA,NA,NA,529.5,-3.34930086264742,-3.04913972834509,-2.53341178813637,NA,NA,NA,"fbp-1",FALSE
"klo-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"klo-2",FALSE
"D2063.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2063.1",TRUE
"aldo-2",706.715710472919,734.012028761153,714.592352920211,NA,NA,NA,74.7509205658516,71.9137977104726,130.342832683967,NA,NA,NA,4572.5,-3.24096672936105,-3.35146320128994,-2.45480922139772,NA,NA,NA,"aldo-2",FALSE
"pyk-1",372.673198554128,366.090200665954,358.806945813344,NA,NA,NA,38.648220707637,55.5426476524331,45.4460787370637,NA,NA,NA,2291.5,-3.26943716706732,-2.7205313012845,-2.98098009472244,NA,NA,NA,"pyk-1",FALSE
"tps-1",23.1064348098769,28.0400737531912,26.6055475314822,NA,NA,NA,10.9665506496996,16.7024425306389,9.6290764213576,NA,NA,NA,166,-1.07518485661271,-0.747431049177533,-1.46625776105413,NA,NA,NA,"tps-1",FALSE
"klo-1",2.34626955670327,2.60361745516083,2.70168041986102,NA,NA,NA,11.83601283129,2.82442242767934,3.08460056864611,NA,NA,NA,14,2.33474249023687,0.117438386341841,0.191226654648476,NA,NA,NA,"klo-1",TRUE
"gpd-2",176.973923825601,160.888578637857,183.979493492739,NA,NA,NA,22.3258249239393,18.8507316972317,29.5455378689688,NA,NA,NA,1096,-2.98675141442375,-3.09336948546724,-2.63853280309648,NA,NA,NA,"gpd-2",FALSE
"R02D5.3",3.12190330551122,4.30837861454199,3.74252653257314,NA,NA,NA,6.39594092956542,5.49550726118142,4.28271638424531,NA,NA,NA,23.5,1.0347307611898,0.351107617301298,0.194513596037764,NA,NA,NA,"R02D5.3",FALSE
"gyg-1",51.0923620014595,39.8549562065408,44.2399905813992,NA,NA,NA,7.22341045413238,16.0750334576629,13.8757897291819,NA,NA,NA,265,-2.82235557737753,-1.30993740298699,-1.67278119482253,NA,NA,NA,"gyg-1",FALSE
